1,"Android"
2,"Arduino"
3,"C++"
4,"Database"
5,"Deeplearning"
6,"Docker"
7,"Github"
8,"Imaging"
9,"Java"
10,"Languages"
11,"Linux"
12,"Mathematics"
13,"ML"
14,"Programming"
15,"Python"
16,"RaspberryPi"
17,"Seach"
18,"Security"
19,"Server"
20,"ShellScript"
21,"Statistics"
22,"VCS"
23,"VisualStudioCode"
24,"WebApp"
31,"IoT"
32,"電子工作"
33,"電子部品"
41,"ドローン"
99,"Others"
